,P_Creation Date,P_Status,P_SRN,P_Type of SR,P_Street Address,P_ Zip,P_X-Coordinate,P_Y-Coordinate,P_ Ward,P_Police_District,P_Community_Area,P_Latitude,P_Longitude,P_No_of_potholes_filled_on_block
0,2018-12-18T00:00:00.000,Open,18-03387502,Pothole in Street,2421 W 21ST PL,60608,1160589.58466936,1889668.10039763,28,10,31,41.852826019085306,-87.68653567831282,0
1,2018-12-18T00:00:00.000,Open,18-03387600,Pothole in Street,2747 N LARAMIE AVE,60639,1141239.63830315,1917871.33251029,31,25,19,41.93100789238241,-87.75625884592907,0
2,2018-12-18T00:00:00.000,Open,18-03387505,Pothole in Street,1145 S FAIRFIELD AVE,60612,1158185.76923213,1894949.25411183,28,11,29,41.86699199133602,-87.69460863867191,0
3,2018-12-18T00:00:00.000,Open,18-03388109,Pothole in Street,6300 S NARRAGANSETT AVE,60638,1134830.54602004,1862059.11078004,23,8,64,41.77762816475196,-87.78141062035807,0
4,2018-12-18T00:00:00.000,Open,18-03387506,Pothole in Street,1145 S WASHTENAW AVE,60612,1158537.44587029,1894956.8624811,28,11,29,41.867010107834254,-87.69329837456898,0
5,2018-12-18T00:00:00.000,Open,18-03389579,Pothole in Street,2600 N LAKEWOOD AVE,60614,1167191.34012594,1917393.4659754,32,19,7,41.92897503655794,-87.66119107601604,0
6,2018-12-18T00:00:00.000,Open,18-03388778,Pothole in Street,8247 S GREEN ST,60620,1172071.58412643,1850163.22816731,21,6,71,41.743767878411894,-87.64491044437408,0
7,2018-12-18T00:00:00.000,Open,18-03386479,Pothole in Street,1819 W HOWARD ST,60626,1162683.80480849,1950346.87997149,49,24,1,42.01929659502752,-87.67642786238677,0
8,2018-12-18T00:00:00.000,Open,18-03389580,Pothole in Street,1127 W SCHUBERT AVE,60614,1168321.50187901,1918084.14358472,43,19,7,41.93064744689892,-87.6573058309955,0
9,2018-12-18T00:00:00.000,Open,18-03388493,Pothole in Street,5230 S NEW ENGLAND AVE,60638,1131270.95041735,1869126.33708118,23,8,56,41.7967447072089,-87.79428866380958,0
10,2018-12-18T00:00:00.000,Open,18-03389578,Pothole in Street,2640 N SHEFFIELD AVE,60614,1169170.32437943,1917720.56430567,43,19,7,41.93011044391672,-87.6539198075495,0
11,2018-12-18T00:00:00.000,Open,18-03388180,Pothole in Street,4100 S WESTERN BLVD,60609,1161201.93739524,1877426.20002426,12,9,58,41.81924669608576,-87.68430532227995,0
12,2018-12-18T00:00:00.000,Open - Dup,18-03387472,Pothole in Street,600 S CENTRAL AVE,60644,1139150.09611752,1896761.21989853,29,15,25,41.872772222188686,-87.76473185047905,0
13,2018-12-18T00:00:00.000,Open,18-03387458,Pothole in Street,908 S CAMPBELL AVE,60612,1159861.46119611,1895933.91187577,28,11,28,41.86992746440123,-87.68871018865747,0
14,2018-12-18T00:00:00.000,Open,18-03388657,Pothole in Street,1899 S KOMENSKY AVE,60623,1149688.8000169,1890340.06988694,24,10,29,41.855111502863174,-87.72591769201104,0
15,2018-12-18T00:00:00.000,Open,18-03388112,Pothole in Street,5400 N WESTERN AVE,60625,1159364.4210923,1935786.95998239,40,20,4,41.979613525431304,-87.68944583164604,0
16,2018-12-18T00:00:00.000,Open,18-03387491,Pothole in Street,3530 W GOVERNORS PKWY,60624,1152676.87747382,1902496.78467038,27,11,23,41.88841687323832,-87.71482114026932,0
17,2018-12-18T00:00:00.000,Open,18-03388384,Pothole in Street,1959 S TROY ST,60623,1155669.85011488,1890142.12140968,24,10,29,41.85370382163392,-87.7039464929227,0
18,2018-12-18T00:00:00.000,Open,18-03388378,Pothole in Street,1358 S KEDZIE AVE,60623,1155250.26342208,1893263.98597806,24,10,29,41.86252937656554,-87.70570454286509,0
19,2018-12-18T00:00:00.000,Open - Dup,18-03388379,Pothole in Street,1959 S TROY ST,60623,1155669.85011488,1890142.12140968,24,10,29,41.85370382163392,-87.7039464929227,0
20,2018-12-17T00:00:00.000,Open,18-03384245,Pothole in Street,5709 N CENTRAL AVE,60646,1137869.61600844,1937631.06608789,39,16,11,41.9850426420961,-87.76815215478614,0
