,R_Creation Date,R_Status,R_SRN,R_Type of SR,R_Street Address,R_ Zip,R_X-Coordinate,R_Y-Coordinate,R_ Ward,R_Police_District,R_Community_Area,R_Latitude,R_Longitude,R_Location,R_No_of_premises_baited,R_No_of_premises_withgarbage,R_No_of_premises_withrats
0,2018-12-18T00:00:00.000,Open,18-03386545,Rodent Baiting/Rat Complaint,1619 W WRIGHTWOOD AVE,60614,1165021.06458203,1917332.41912411,32,19,7,41.92876584327035,-87.6690179962987,"{'latitude': '41.92876584327', 'longitude': '-87.669017996299'}",0,0,0
1,2018-12-18T00:00:00.000,Open,18-03388235,Rodent Baiting/Rat Complaint,3918 N GREENVIEW AVE,60613,1165375.64300682,1926100.76102417,47,19,6,41.95281907557659,-87.66746475802633,"{'latitude': '41.952819075577', 'longitude': '-87.667464758026'}",0,0,0
2,2018-12-18T00:00:00.000,Open,18-03388796,Rodent Baiting/Rat Complaint,1500 W OHIO ST,60642,1166066.77803398,1904107.13576872,1,12,24,41.89245251813056,-87.66555372037213,"{'latitude': '41.892452518131', 'longitude': '-87.665553720372'}",0,0,0
3,2018-12-18T00:00:00.000,Open,18-03388055,Rodent Baiting/Rat Complaint,4511 N PULASKI RD,60630,1148914.02842095,1929707.55999701,35,17,14,41.963051420227366,-87.72788515814382,"{'latitude': '41.963051420227', 'longitude': '-87.727885158144'}",0,0,0
4,2018-12-18T00:00:00.000,Open,18-03388906,Rodent Baiting/Rat Complaint,1364 E MADISON PARK,60615,1186202.40811466,1871720.31147686,4,2,39,41.80312757651099,-87.59263082060609,"{'latitude': '41.803127576511', 'longitude': '-87.592630820606'}",0,0,0
5,2018-12-18T00:00:00.000,Open,18-03388081,Rodent Baiting/Rat Complaint,6014 S CARPENTER ST,60621,1170342.58270211,1864932.05172496,16,7,68,41.78486015651999,-87.65099348813523,"{'latitude': '41.78486015652', 'longitude': '-87.650993488135'}",0,0,0
6,2018-12-18T00:00:00.000,Open,18-03388264,Rodent Baiting/Rat Complaint,2916 W 86TH ST,60652,1158367.90159399,1847447.56999339,18,8,70,41.73713245792963,-87.69537338167912,"{'latitude': '41.73713245793', 'longitude': '-87.695373381679'}",0,0,0
7,2018-12-18T00:00:00.000,Open,18-03388510,Rodent Baiting/Rat Complaint,5519 S NOTTINGHAM AVE,60638,1129967.08858745,1867121.42719592,23,8,56,41.791652100127614,-87.79898009144168,"{'latitude': '41.791652100128', 'longitude': '-87.798980091442'}",0,0,0
8,2018-12-18T00:00:00.000,Open,18-03386544,Rodent Baiting/Rat Complaint,1623 W WRIGHTWOOD AVE,60614,1164978.36458203,1917331.31912411,32,19,7,41.92876373252603,-87.66917493559838,"{'latitude': '41.928763732526', 'longitude': '-87.669174935598'}",0,0,0
9,2018-12-18T00:00:00.000,Open,18-03388501,Rodent Baiting/Rat Complaint,2342 S CENTRAL PARK AVE,60623,1152738.84296606,1888201.65338382,22,10,30,41.84908033257519,-87.71492275104796,"{'latitude': '41.849080332575', 'longitude': '-87.714922751048'}",0,0,0
10,2018-12-18T00:00:00.000,Open,18-03388346,Rodent Baiting/Rat Complaint,7929 S TRUMBULL AVE,60652,1154759.95012442,1851791.955432,18,8,70,41.74912681282552,-87.70847640792691,"{'latitude': '41.749126812826', 'longitude': '-87.708476407927'}",0,0,0
11,2018-12-18T00:00:00.000,Open,18-03387924,Rodent Baiting/Rat Complaint,1423 W CUYLER AVE,60613,1166036.83797341,1926997.259883,47,19,6,41.955264984774836,-87.66500847934745,"{'latitude': '41.955264984775', 'longitude': '-87.665008479347'}",0,0,0
12,2018-12-18T00:00:00.000,Open,18-03388896,Rodent Baiting/Rat Complaint,1508 N CENTRAL AVE,60651,1138725.51678379,1909471.30022662,29,25,25,41.90771245227504,-87.76583765575958,"{'latitude': '41.907712452275', 'longitude': '-87.76583765576'}",0,0,0
13,2018-12-18T00:00:00.000,Open,18-03388125,Rodent Baiting/Rat Complaint,3044 W THORNDALE AVE,60659,1154849.45048581,1939015.0400028,40,20,2,41.9884744999303,-87.70581194950698,"{'latitude': '41.98847449993', 'longitude': '-87.705811949507'}",0,0,0
14,2018-12-18T00:00:00.000,Open,18-03387374,Rodent Baiting/Rat Complaint,2500 N NEW ENGLAND AVE,60707,1130002.76860329,1915859.70697977,36,25,18,41.92539694804906,-87.7977344060179,"{'latitude': '41.925396948049', 'longitude': '-87.797734406018'}",0,0,0
15,2018-12-18T00:00:00.000,Open,18-03388083,Rodent Baiting/Rat Complaint,17 N AUSTIN BLVD,60644,1136386.97476561,1899508.6918119,29,15,25,41.880415910333625,-87.77466664099818,"{'latitude': '41.880415910334', 'longitude': '-87.774666640998'}",0,0,0
16,2018-12-18T00:00:00.000,Open,18-03388270,Rodent Baiting/Rat Complaint,2732 W MELROSE ST,60618,1157622.49307143,1921462.43001687,33,17,21,41.94025296034843,-87.69609253307337,"{'latitude': '41.940252960348', 'longitude': '-87.696092533073'}",0,0,0
17,2018-12-18T00:00:00.000,Open,18-03386546,Rodent Baiting/Rat Complaint,1609 W WRIGHTWOOD AVE,60614,1165127.96457881,1917335.27122177,32,19,7,41.928771396163235,-87.66862509392065,"{'latitude': '41.928771396163', 'longitude': '-87.668625093921'}",0,0,0
18,2018-12-18T00:00:00.000,Open,18-03388744,Rodent Baiting/Rat Complaint,1745 W PRATT BLVD,60626,1163229.21393321,1945212.55990159,49,24,1,42.00530804777256,-87.6748150168996,"{'latitude': '42.005308047773', 'longitude': '-87.6748150169'}",0,0,0
19,2018-12-18T00:00:00.000,Open,18-03386547,Rodent Baiting/Rat Complaint,1611 W WRIGHTWOOD AVE,60614,1165106.56457881,1917334.67122177,32,19,7,41.928770204947185,-87.66870374873847,"{'latitude': '41.928770204947', 'longitude': '-87.668703748738'}",0,0,0
20,2018-12-18T00:00:00.000,Open,18-03388445,Rodent Baiting/Rat Complaint,1259 W 71ST PL,60636,1169031.69627596,1857362.2166749,6,7,67,41.76411603496316,-87.6560183352909,"{'latitude': '41.764116034963', 'longitude': '-87.656018335291'}",0,0,0
