,T_Creation Date,T_Status,T_SRN,T_Type of SR,T_Tree Location,T_Street Address,T_Zip,T_X-Coordinate,T_Y-Coordinate,T_Ward,T_Police_District,T_Community_Area,T_Latitude,T_Longitude
0,2018-12-18T00:00:00.000,Open,18-03388513,Tree Trim,Parkway,6242 N LAKEWOOD AVE,60660,1166487.26296879,1941590.58096917,48,24,77,41.99529987490522,-87.66293279588547
1,2018-12-18T00:00:00.000,Open,18-03388679,Tree Trim,Location Not Recorded,1830 N KARLOV AVE,60639,1148761.52691362,1911864.47501609,35,25,20,41.91409143989441,-87.72890840114228
2,2018-12-17T00:00:00.000,Open - Dup,18-03383614,Tree Trim,Parkway,3301 N KEATING AVE,60641,1144246.27069279,1921527.08560655,30,17,15,41.940692713655935,-87.74525338950816
3,2018-12-17T00:00:00.000,Completed,18-03381902,Tree Trim,Location Not Recorded,5833 N MARKHAM AVE,60646,1135964.30662119,1938452.21238371,45,16,11,41.987288748035894,-87.7752878812958
4,2018-12-17T00:00:00.000,Completed,18-03381644,Tree Trim,Location Not Recorded,13200 S ST LAWRENCE AVE,60827,1182585.8005309,1817872.31002495,9,5,54,41.655447120367725,-87.60755959700661
5,2018-12-17T00:00:00.000,Completed,18-03381899,Tree Trim,Location Not Recorded,5831 N MARKHAM AVE,60646,1135957.40662119,1938430.51238371,45,16,11,41.9872293247802,-87.77531378019074
6,2018-12-17T00:00:00.000,Completed,18-03381893,Tree Trim,Location Not Recorded,5819 N MARKHAM AVE,60646,1135916.33193085,1938300.40569634,45,16,11,41.98687303534759,-87.77546797378943
7,2018-12-17T00:00:00.000,Completed,18-03381889,Tree Trim,Location Not Recorded,5805 N MARKHAM AVE,60646,1135868.43193085,1938148.50569634,45,16,11,41.98645706494028,-87.77564779143357
8,2018-12-17T00:00:00.000,Open,18-03381414,Tree Trim,Parkway,3644 N SACRAMENTO AVE,60618,1155737.91057634,1924076.87489017,33,17,16,41.947465411038046,-87.70294835287663
9,2018-12-17T00:00:00.000,Completed,18-03381641,Tree Trim,Location Not Recorded,12859 S NORMAL AVE,60628,1175318.44000114,1819526.11996891,9,5,53,41.66015028759085,-87.63410214738929
10,2018-12-17T00:00:00.000,Completed,18-03381632,Tree Trim,Location Not Recorded,28 E 126TH ST,60628,1178735.97922816,1821125.45997292,9,5,53,41.66446236800289,-87.62154796049374
11,2018-12-17T00:00:00.000,Open,18-03383553,Tree Trim,Parkway,5316 S TALMAN AVE,60632,1159606.82608531,1869312.94331382,14,9,63,41.79710896386084,-87.69023533676368
12,2018-12-17T00:00:00.000,Completed,18-03381623,Tree Trim,Location Not Recorded,12558 S MICHIGAN AVE,60628,1179149.53071337,1821343.30999123,9,5,53,41.66505079992977,-87.62002794736193
13,2018-12-17T00:00:00.000,Completed - Dup,18-03382992,Tree Trim,Location Not Recorded,11744 S PEORIA ST,60643,1172433.36528442,1826957.42992196,34,5,53,41.680606790399814,-87.64444219502684
14,2018-12-17T00:00:00.000,Open - Dup,18-03379831,Tree Trim,Parkway,9704 S PRINCETON AVE,60628,1175996.99010215,1840582.15156558,21,5,49,41.71791608504239,-87.63099090633953
15,2018-12-17T00:00:00.000,Open,18-03378826,Tree Trim,Parkway,8150 S HOMAN AVE,60652,1155250.53027254,1850686.03693017,18,8,70,41.74608219950614,-87.7067082263023
16,2018-12-17T00:00:00.000,Open,18-03379452,Tree Trim,Parkway,4959 S KEATING AVE,60632,1145529.53592949,1871323.01097192,14,8,56,41.80290230545301,-87.74180844447696
17,2018-12-17T00:00:00.000,Open,18-03380765,Tree Trim,Parkway,5250 N NEWCASTLE AVE,60656,1129933.65871979,1934143.56816776,41,16,10,41.975571094341234,-87.79756837208679
18,2018-12-17T00:00:00.000,Open,18-03379267,Tree Trim,Location Not Recorded,1401 W 110TH PL,60643,1168955.91951553,1831478.74719062,34,22,75,41.693089635135856,-87.65704144583398
19,2018-12-17T00:00:00.000,Open,18-03379882,Tree Trim,Location Not Recorded,3904 W 102ND PL,60655,1152089.56327774,1836233.41009298,19,22,74,41.706484156630324,-87.71866897130987
20,2018-12-17T00:00:00.000,Completed,18-03381897,Tree Trim,Location Not Recorded,5826 N MARKHAM AVE,60646,1135940.30662119,1938376.31238371,45,16,11,41.98708090113417,-87.77537797430423
